青白 (あおじろ)
増税 (ぞうぜい)
増大 (ぞうだい)
増築 (ぞうちく)
増長 (ぞうちょう)
増発 (ぞうはつ)
増便 (ぞうびん)
増力 (ぞうりょく)
造林 (ぞうりん)
属人 (ぞくじん)
属性 (ぞくせい)
属地 (ぞくち)
続編 (ぞくへん)
続報 (ぞくほう)
属領 (ぞくりょう)
属国 (ぞっこく)
退位 (たいい)
退院 (たいいん)
体液 (たいえき)
退役 (たいえき)
対応 (たいおう)
退化 (たいか)
大過 (たいか)
退会 (たいかい)
体格 (たいかく)
対格 (たいかく)
退官 (たいかん)
大河 (たいが)
退学 (たいがく)
退去 (たいきょ)
大群 (たいぐん)
体現 (たいげん)
退行 (たいこう)
退散 (たいさん)
大志 (たいし)
体質 (たいしつ)
退社 (たいしゃ)
代謝 (たいしゃ)
貸借 (たいしゃく)
退出 (たいしゅつ)
退職 (たいしょく)
退治 (たいじ)
退場 (たいじょう)
体制 (たいせい)
体勢 (たいせい)
態勢 (たいせい)
大勢 (たいせい)
退席 (たいせき)
退団 (たいだん)
大敵 (たいてき)
態度 (たいど)
退任 (たいにん)
大任 (たいにん)
大破 (たいは)
対比 (たいひ)
退歩 (たいほ)
大略 (たいりゃく)
多額 (たがく)
多謝 (たしゃ)
多情 (たじょう)
多勢 (たぜい)
立居 (たちい)
多能 (たのう)
多弁 (たべん)
容易 (たやす)
単価 (たんか)
炭鉱 (たんこう)
炭酸 (たんさん)
炭素 (たんそ)
単独 (たんどく)
短評 (たんぴょう)
単複 (たんぷく)
短編 (たんぺん)
代価 (だいか)
代講 (だいこう)
大仏 (だいぶつ)
代弁 (だいべん)
打破 (だは)
談義 (だんぎ)
団結 (だんけつ)
断言 (だんげん)
断固 (だんこ)
団交 (だんこう)
断交 (だんこう)
断行 (だんこう)
団子 (だんご)
断食 (だんじき)
男性 (だんせい)
断線 (だんせん)
断絶 (だんぜつ)
断然 (だんぜん)
断続 (だんぞく)
団体 (だんたい)
団地 (だんち)
団長 (だんちょう)
断腸 (だんちょう)
断定 (だんてい)
断念 (だんねん)
断面 (だんめん)
地価 (ちか)
近寄 (ちかよ)
築造 (ちくぞう)
知識 (ちしき)
地質 (ちしつ)
知性 (ちせい)
知能 (ちのう)
血迷 (ちまよ)
着眼 (ちゃくがん)
着任 (ちゃくにん)
注解 (ちゅうかい)
中性 (ちゅうせい)
中絶 (ちゅうぜつ)
中退 (ちゅうたい)
中断 (ちゅうだん)
中略 (ちゅうりゃく)
町営 (ちょうえい)
朝刊 (ちょうかん)
調査 (ちょうさ)
調製 (ちょうせい)
重複 (ちょうふく)
長編 (ちょうへん)
張力 (ちょうりょく)
直営 (ちょくえい)
直情 (ちょくじょう)
直接 (ちょくせつ)
直属 (ちょくぞく)
似指 (ちんぽこ)
通過 (つうか)
通常 (つうじょう)
通報 (つうほう)
築山 (つきやま)
手厚 (てあつ)
低圧 (ていあつ)
提案 (ていあん)
低価 (ていか)
定価 (ていか)
定格 (ていかく)
低額 (ていがく)
定額 (ていがく)
提起 (ていき)
定義 (ていぎ)
低減 (ていげん)
提言 (ていげん)
提出 (ていしゅつ)
提唱 (ていしょう)
定職 (ていしょく)
提示 (ていじ)
定常 (ていじょう)
定性 (ていせい)
程度 (ていど)
低能 (ていのう)
定評 (ていひょう)
低迷 (ていめい)
低率 (ていりつ)
停留 (ていりゅう)
手織 (ており)
敵意 (てきい)
適応 (てきおう)
的確 (てきかく)
適格 (てきかく)
適合 (てきごう)
適材 (てきざい)
適者 (てきしゃ)
適時 (てきじ)
適性 (てきせい)
適正 (てきせい)
適切 (てきせつ)
敵対 (てきたい)
敵地 (てきち)
適地 (てきち)
適当 (てきとう)
適度 (てきど)
適任 (てきにん)
適法 (てきほう)
適役 (てきやく)
適用 (てきよう)
適量 (てきりょう)
手際 (てぎわ)
手提 (てさげ)
敵機 (てっき)
鉄鉱 (てっこう)
鉄製 (てっせい)
鉄則 (てっそく)
転移 (てんい)
転居 (てんきょ)
点検 (てんけん)
天災 (てんさい)
点在 (てんざい)
天職 (てんしょく)
転職 (てんしょく)
天性 (てんせい)
天測 (てんそく)
転属 (てんぞく)
天敵 (てんてき)
転任 (てんにん)
電圧 (でんあつ)
電解 (でんかい)
伝承 (でんしょう)
伝授 (でんじゅ)
伝統 (でんとう)
伝導 (でんどう)
電報 (でんぽう)
統一 (とういつ)
等価 (とうか)
当確 (とうかく)
東経 (とうけい)
統計 (とうけい)
統語 (とうご)
統合 (とうごう)
投資 (とうし)
等質 (とうしつ)
統制 (とうせい)
統率 (とうそつ)
統治 (とうち)
答弁 (とうべん)
頭領 (とうりょう)
都営 (とえい)
徳川 (とくがわ)
徳川 (とくがわ)
特技 (とくぎ)
特質 (とくしつ)
特性 (とくせい)
特製 (とくせい)
特設 (とくせつ)
徳用 (とくよう)
常夏 (とこなつ)
年増 (としま)
特価 (とっか)
特解 (とっかい)
特許 (とっきょ)
徳利 (とっくり)
鳥居 (とりい)
銅貨 (どうか)
同格 (どうかく)
同額 (どうがく)
同居 (どうきょ)
同義 (どうぎ)
同志 (どうし)
同質 (どうしつ)
銅賞 (どうしょう)
同情 (どうじょう)
同性 (どうせい)
銅製 (どうせい)
導線 (どうせん)
銅像 (どうぞう)
導体 (どうたい)
同断 (どうだん)
導通 (どうつう)
道程 (どうてい)
導電 (どうでん)
道徳 (どうとく)
導入 (どうにゅう)
道破 (どうは)
同率 (どうりつ)
独演 (どくえん)
読解 (どくかい)
独学 (どくがく)
独語 (どくご)
独唱 (どくしょう)
独身 (どくしん)
独自 (どくじ)
毒性 (どくせい)
毒素 (どくそ)
独走 (どくそう)
独断 (どくだん)
独特 (どくとく)
読破 (どくは)
独白 (どくはく)
独立 (どくりつ)
独立 (どくりつ)
独力 (どくりょく)
読解 (どっかい)
土俵 (どひょう)
内在 (ないざい)
内職 (ないしょく)
内示 (ないじ)
内情 (ないじょう)
内政 (ないせい)
内接 (ないせつ)
内燃 (ないねん)
内容 (ないよう)
仲居 (なかい)
中程 (なかほど)
長居 (ながい)
永年 (ながねん)
何故 (なぜ)
何故 (なにゆえ)
似合 (にあ)
新妻 (にいづま)
似通 (にかよ)
肉眼 (にくがん)
日限 (にちげん)
日常 (にちじょう)
日独 (にちどく)
日刊 (にっかん)
日程 (にってい)
日報 (にっぽう)
入居 (にゅうきょ)
入構 (にゅうこう)
入団 (にゅうだん)
任意 (にんい)
任官 (にんかん)
任期 (にんき)
人情 (にんじょう)
任地 (にんち)
任務 (にんむ)
任命 (にんめい)
布地 (ぬのじ)
熱演 (ねつえん)
熱弁 (ねつべん)
年刊 (ねんかん)
年賀 (ねんが)
年額 (ねんがく)
燃焼 (ねんしょう)
燃費 (ねんぴ)
念仏 (ねんぶつ)
年報 (ねんぽう)
燃料 (ねんりょう)
能楽 (のうがく)
農耕 (のうこう)
能動 (のうどう)
能弁 (のうべん)
能面 (のうめん)
能率 (のうりつ)
能力 (のうりょく)
敗因 (はいいん)
配属 (はいぞく)
敗退 (はいたい)
配備 (はいび)
配布 (はいふ)
羽織 (はお)
羽織 (はおり)
墓場 (はかば)
破顔 (はがん)
破局 (はきょく)
博識 (はくしき)
白状 (はくじょう)
白銅 (はくどう)
破産 (はさん)
波状 (はじょう)
破水 (はすい)
破線 (はせん)
破損 (はそん)
破談 (はだん)
破竹 (はちく)
発刊 (はっかん)
発券 (はっけん)
発効 (はっこう)
発布 (はっぷ)
発現 (はつげん)
発情 (はつじょう)
破門 (はもん)
早弁 (はやべん)
張合 (はりあ)
張子 (はりこ)
半額 (はんがく)
反逆 (はんぎゃく)
判決 (はんけつ)
半券 (はんけん)
半減 (はんげん)
判子 (はんこ)
犯行 (はんこう)
犯罪 (はんざい)
版下 (はんした)
判事 (はんじ)
判然 (はんぜん)
判然 (はんぜん)
判然 (はんぜん)
反則 (はんそく)
判断 (はんだん)
判定 (はんてい)
版図 (はんと)
判読 (はんどく)
犯人 (はんにん)
反応 (はんのう)
反復 (はんぷく)
判別 (はんべつ)
判明 (はんめい)
版元 (はんもと)
判例 (はんれい)
売価 (ばいか)
倍額 (ばいがく)
倍増 (ばいぞう)
倍率 (ばいりつ)
馬券 (ばけん)
万能 (ばんのう)
非運 (ひうん)
非行 (ひこう)
比重 (ひじゅう)
非常 (ひじょう)
非情 (ひじょう)
日銭 (ひぜに)
肥大 (ひだい)
筆耕 (ひっこう)
必修 (ひっしゅう)
引張 (ひっぱり)
筆圧 (ひつあつ)
筆舌 (ひつぜつ)
非鉄 (ひてつ)
人質 (ひとじち)
人妻 (ひとづま)
非番 (ひばん)
非文 (ひぶん)
悲報 (ひほう)
肥満 (ひまん)
評価 (ひょうか)
氷解 (ひょうかい)
氷河 (ひょうが)
評議 (ひょうぎ)
表現 (ひょうげん)
評言 (ひょうげん)
標識 (ひょうしき)
表示 (ひょうじ)
標準 (ひょうじゅん)
表情 (ひょうじょう)
評定 (ひょうじょう)
評定 (ひょうてい)
評点 (ひょうてん)
評伝 (ひょうでん)
評判 (ひょうばん)
非力 (ひりき)
比率 (ひりつ)
肥料 (ひりょう)
非力 (ひりょく)
比類 (ひるい)
比例 (ひれい)
品格 (ひんかく)
貧血 (ひんけつ)
品質 (ひんしつ)
貧者 (ひんじゃ)
貧弱 (ひんじゃく)
品性 (ひんせい)
貧相 (ひんそう)
貧富 (ひんぷ)
貧民 (ひんみん)
備考 (びこう)
美質 (びしつ)
美術 (びじゅつ)
美徳 (びとく)
備品 (びひん)
病状 (びょうじょう)
美容 (びよう)
風圧 (ふうあつ)
風格 (ふうかく)
夫婦 (ふうふ)
風防 (ふうぼう)
府営 (ふえい)
不可 (ふか)
不快 (ふかい)
布教 (ふきょう)
不義 (ふぎ)
復学 (ふくがく)
復元 (ふくげん)
復号 (ふくごう)
複合 (ふくごう)
複雑 (ふくざつ)
複式 (ふくしき)
複写 (ふくしゃ)
復習 (ふくしゅう)
復唱 (ふくしょう)
複勝 (ふくしょう)
復職 (ふくしょく)
複数 (ふくすう)
複製 (ふくせい)
複線 (ふくせん)
服属 (ふくぞく)
複本 (ふくほん)
服務 (ふくむ)
複利 (ふくり)
復路 (ふくろ)
不潔 (ふけつ)
布告 (ふこく)
夫妻 (ふさい)
不在 (ふざい)
富者 (ふしゃ)
婦女 (ふじょ)
婦人 (ふじん)
布石 (ふせき)
付設 (ふせつ)
風情 (ふぜい)
父祖 (ふそ)
付則 (ふそく)
付属 (ふぞく)
不断 (ふだん)
婦長 (ふちょう)
復活 (ふっかつ)
復帰 (ふっき)
復旧 (ふっきゅう)
復古 (ふっこ)
復興 (ふっこう)
復交 (ふっこう)
不敵 (ふてき)
不適 (ふてき)
不徳 (ふとく)
布団 (ふとん)
不燃 (ふねん)
不能 (ふのう)
不評 (ふひょう)
不備 (ふび)
分銅 (ふんどう)
分厚 (ぶあつ)
分厚 (ぶあつ)
武官 (ぶかん)
武器 (ぶき)
武士 (ぶし)
不精 (ぶしょう)
物価 (ぶっか)
仏教 (ぶっきょう)
物件 (ぶっけん)
仏師 (ぶっし)
物資 (ぶっし)
物質 (ぶっしつ)
物証 (ぶっしょう)
仏心 (ぶっしん)
物性 (ぶっせい)
仏像 (ぶつぞう)
仏道 (ぶつどう)
武道 (ぶどう)
武力 (ぶりょく)
分解 (ぶんかい)
文責 (ぶんせき)
分断 (ぶんだん)
文武 (ぶんぶ)
分布 (ぶんぷ)
平易 (へいい)
平価 (へいか)
平均 (へいきん)
兵舎 (へいしゃ)
平常 (へいじょう)
平素 (へいそ)
平版 (へいはん)
変圧 (へんあつ)
変移 (へんい)
変格 (へんかく)
辺境 (へんきょう)
編曲 (へんきょく)
変質 (へんしつ)
編修 (へんしゅう)
編集 (へんしゅう)
編制 (へんせい)
編成 (へんせい)
変則 (へんそく)
変造 (へんぞう)
変態 (へんたい)
編隊 (へんたい)
編入 (へんにゅう)
編年 (へんねん)
変容 (へんよう)
米価 (べいか)
別格 (べっかく)
別居 (べっきょ)
別件 (べっけん)
別個 (べっこ)
別報 (べっぽう)
別状 (べつじょう)
便益 (べんえき)
弁解 (べんかい)
弁護 (べんご)
弁当 (べんとう)
弁別 (べんべつ)
弁明 (べんめい)
弁理 (べんり)
保安 (ほあん)
保育 (ほいく)
方眼 (ほうがん)
法規 (ほうき)
報告 (ほうこく)
豊作 (ほうさく)
法師 (ほうし)
報賞 (ほうしょう)
包接 (ほうせつ)
法則 (ほうそく)
報知 (ほうち)
報道 (ほうどう)
放任 (ほうにん)
豊年 (ほうねん)
豊富 (ほうふ)
報復 (ほうふく)
豊満 (ほうまん)
法務 (ほうむ)
包容 (ほうよう)
保温 (ほおん)
保管 (ほかん)
北限 (ほくげん)
保健 (ほけん)
保険 (ほけん)
反故 (ほご)
保護 (ほご)
保守 (ほしゅ)
保証 (ほしょう)
保身 (ほしん)
保持 (ほじ)
保線 (ほせん)
保全 (ほぜん)
保母 (ほぼ)
保有 (ほゆう)
保養 (ほよう)
保留 (ほりゅう)
本格 (ほんかく)
本件 (ほんけん)
本妻 (ほんさい)
本質 (ほんしつ)
本性 (ほんしょう)
本職 (ほんしょく)
本則 (ほんそく)
本能 (ほんのう)
本編 (ほんぺん)
本務 (ほんむ)
本領 (ほんりょう)
暴飲 (ぼういん)
防衛 (ぼうえい)
貿易 (ぼうえき)
防音 (ぼうおん)
防火 (ぼうか)
暴漢 (ぼうかん)
防寒 (ぼうかん)
暴挙 (ぼうきょ)
防空 (ぼうくう)
暴言 (ぼうげん)
暴行 (ぼうこう)
防護 (ぼうご)
防災 (ぼうさい)
防止 (ぼうし)
暴食 (ぼうしょく)
防水 (ぼうすい)
防戦 (ぼうせん)
暴走 (ぼうそう)
暴動 (ぼうどう)
暴発 (ぼうはつ)
防備 (ぼうび)
暴風 (ぼうふう)
防風 (ぼうふう)
暴落 (ぼうらく)
暴利 (ぼうり)
暴力 (ぼうりょく)
牧師 (ぼくし)
墓所 (ぼしょ)
母性 (ぼせい)
墓地 (ぼち)
墓標 (ぼひょう)
迷子 (まいご)
間際 (まぎわ)
正夢 (まさゆめ)
真似 (まね)
真似 (まね)
見限 (みかぎ)
未刊 (みかん)
見境 (みさかい)
水際 (みずぎわ)
見張 (みは)
見破 (みやぶ)
民営 (みんえい)
民政 (みんせい)
無益 (むえき)
無限 (むげん)
無効 (むこう)
無罪 (むざい)
武者 (むしゃ)
無性 (むしょう)
無職 (むしょく)
無常 (むじょう)
無情 (むじょう)
無銭 (むせん)
無税 (むぜい)
夢想 (むそう)
無断 (むだん)
夢中 (むちゅう)
無敵 (むてき)
無能 (むのう)
無比 (むひ)
明解 (めいかい)
明快 (めいかい)
明確 (めいかく)
迷宮 (めいきゅう)
名義 (めいぎ)
迷信 (めいしん)
明示 (めいじ)
迷路 (めいろ)
夫婦 (めおと)
眼鏡 (めがね)
綿糸 (めんし)
面識 (めんしき)
面接 (めんせつ)
毛布 (もうふ)
目測 (もくそく)
木造 (もくぞう)
百舌 (もず)
木綿 (もめん)
文句 (もんく)
門限 (もんげん)
野営 (やえい)
役職 (やくしょく)
野性 (やせい)
薬価 (やっか)
山桜 (やまざくら)
山師 (やまし)
油圧 (ゆあつ)
有益 (ゆうえき)
有価 (ゆうか)
夕刊 (ゆうかん)
有限 (ゆうげん)
有効 (ゆうこう)
有罪 (ゆうざい)
有志 (ゆうし)
友情 (ゆうじょう)
有性 (ゆうせい)
有税 (ゆうぜい)
勇断 (ゆうだん)
有能 (ゆうのう)
有余 (ゆうよ)
輸血 (ゆけつ)
輸出 (ゆしゅつ)
油性 (ゆせい)
輸送 (ゆそう)
油断 (ゆだん)
輸入 (ゆにゅう)
夢見 (ゆめみ)
容易 (ようい)
要因 (よういん)
容器 (ようき)
用件 (ようけん)
要件 (ようけん)
養護 (ようご)
容色 (ようしょく)
要職 (ようしょく)
陽性 (ようせい)
容積 (ようせき)
要素 (ようそ)
容体 (ようだい)
用務 (ようむ)
容量 (ようりょう)
要領 (ようりょう)
予価 (よか)
余興 (よきょう)
預金 (よきん)
余計 (よけい)
預言 (よげん)
余情 (よじょう)
余人 (よじん)
寄席 (よせ)
余生 (よせい)
予測 (よそく)
予断 (よだん)
余談 (よだん)
余地 (よち)
余熱 (よねつ)
余念 (よねん)
余波 (よは)
余白 (よはく)
予備 (よび)
余分 (よぶん)
予報 (よほう)
予防 (よぼう)
余力 (よりょく)
余録 (よろく)
来演 (らいえん)
礼賛 (らいさん)
利益 (りえき)
理解 (りかい)
力演 (りきえん)
理性 (りせい)
立志 (りっし)
立証 (りっしょう)
立像 (りつぞう)
略解 (りゃくかい)
略語 (りゃくご)
略式 (りゃくしき)
略字 (りゃくじ)
略図 (りゃくず)
略筆 (りゃくひつ)
略歴 (りゃくれき)
略解 (りゃっかい)
略記 (りゃっき)
留意 (りゅうい)
留学 (りゅうがく)
留置 (りゅうち)
留任 (りゅうにん)
留年 (りゅうねん)
留保 (りゅうほ)
領海 (りょうかい)
領空 (りょうくう)
漁師 (りょうし)
良識 (りょうしき)
良質 (りょうしつ)
領主 (りょうしゅ)
領事 (りょうじ)
両性 (りょうせい)
良性 (りょうせい)
両断 (りょうだん)
領地 (りょうち)
領土 (りょうど)
領内 (りょうない)
領分 (りょうぶん)
領有 (りょうゆう)
旅券 (りょけん)
旅情 (りょじょう)
旅団 (りょだん)
旅程 (りょてい)
理容 (りよう)
利率 (りりつ)
輪講 (りんこう)
類似 (るいじ)
留守 (るす)
流布 (るふ)
例解 (れいかい)
例証 (れいしょう)
例示 (れいじ)
令状 (れいじょう)
礼状 (れいじょう)
連接 (れんせつ)
連破 (れんぱ)
連綿 (れんめん)
老眼 (ろうがん)
老境 (ろうきょう)
労災 (ろうさい)
老妻 (ろうさい)
労務 (ろうむ)
和解 (わかい)
愛敬 (あいきょう)
赤潮 (あかしお)
上潮 (あげしお)
朝晩 (あさばん)
圧巻 (あっかん)
圧縮 (あっしゅく)
圧延 (あつえん)
貴方 (あなた)
兄貴 (あにき)
新巻 (あらまき)
在処 (ありか)
有難 (ありがた)
暗視 (あんし)
安否 (あんぴ)
異化 (いか)
異境 (いきょう)
異郷 (いきょう)
異義 (いぎ)
異議 (いぎ)
遺業 (いぎょう)
異見 (いけん)
以降 (いこう)
異国 (いこく)
遺骨 (いこつ)
遺言 (いごん)
遺作 (いさく)
遺産 (いさん)
遺志 (いし)
異質 (いしつ)
遺失 (いしつ)
異種 (いしゅ)
遺書 (いしょ)
衣装 (いしょう)
異色 (いしょく)
遺児 (いじ)
異常 (いじょう)
異状 (いじょう)
異人 (いじん)
居座 (いすわ)
異性 (いせい)
異星 (いせい)
異説 (いせつ)
遺族 (いぞく)
異存 (いぞん)
異体 (いたい)
遺体 (いたい)
痛手 (いたで)
一存 (いちぞん)
一段 (いちだん)
遺著 (いちょ)
一覧 (いちらん)
一律 (いちりつ)
一巻 (いっかん)
一刻 (いっこく)
一層 (いっそう)
一派 (いっぱ)
胃痛 (いつう)
射手 (いて)
遺伝 (いでん)
異動 (いどう)
異同 (いどう)
居並 (いなら)
遺品 (いひん)
異物 (いぶつ)
遺物 (いぶつ)
異変 (いへん)
異名 (いめい)
否応 (いやおう)
意訳 (いやく)
異様 (いよう)
意欲 (いよく)
遺留 (いりゅう)
異例 (いれい)
異論 (いろん)
印刻 (いんこく)
打傷 (うちきず)
内幕 (うちまく)
宇宙 (うちゅう)
内訳 (うちわけ)
右派 (うは)
乳母 (うば)
梅干 (うめぼし)
裏表 (うらおもて)
裏方 (うらかた)
裏返 (うらがえ)
裏返 (うらがえ)
裏書 (うらがき)
裏金 (うらがね)
裏側 (うらがわ)
裏切 (うらぎ)
裏口 (うらぐち)
裏作 (うらさく)
裏地 (うらじ)
裏手 (うらて)
裏庭 (うらにわ)
裏腹 (うらはら)
裏町 (うらまち)
裏道 (うらみち)
裏目 (うらめ)
裏山 (うらやま)
売値 (うりね)
運針 (うんしん)
運賃 (うんちん)
映画 (えいが)
映写 (えいしゃ)
映像 (えいぞう)
英訳 (えいやく)
干支 (えと)
絵巻 (えまき)
沿海 (えんかい)
沿革 (えんかく)
沿岸 (えんがん)
延期 (えんき)
演劇 (えんげき)
遠視 (えんし)
延焼 (えんしょう)
円熟 (えんじゅく)
延性 (えんせい)
沿線 (えんせん)
演奏 (えんそう)
延着 (えんちゃく)
延長 (えんちょう)
沿道 (えんどう)
延命 (えんめい)
王座 (おうざ)
王将 (おうしょう)
大蔵 (おおくら)
大筋 (おおすじ)
幼子 (おさなご)
面映 (おもはゆ)
温存 (おんぞん)
温暖 (おんだん)
海域 (かいいき)
改革 (かいかく)
改憲 (かいけん)
会誌 (かいし)
回収 (かいしゅう)
解除 (かいじょ)
改善 (かいぜん)
改装 (かいそう)
階層 (かいそう)
階段 (かいだん)
海難 (かいなん)
買値 (かいね)
開閉 (かいへい)
開幕 (かいまく)
改訳 (かいやく)
回覧 (かいらん)
閣議 (かくぎ)
画策 (かくさく)
拡散 (かくさん)
各署 (かくしょ)
革新 (かくしん)
拡声 (かくせい)
各層 (かくそう)
拡大 (かくだい)
格段 (かくだん)
拡張 (かくちょう)
各党 (かくとう)
閣内 (かくない)
確認 (かくにん)
格納 (かくのう)
各派 (かくは)
革命 (かくめい)
各論 (かくろん)
家系 (かけい)
歌劇 (かげき)
過激 (かげき)
下降 (かこう)
家裁 (かさい)
可視 (かし)
歌詞 (かし)
貸賃 (かしちん)
果樹 (かじゅ)
加除 (かじょ)
下垂 (かすい)
下層 (かそう)
仮装 (かそう)
家蔵 (かぞう)
片足 (かたあし)
片側 (かたがわ)
家宅 (かたく)
片言 (かたこと)
片付 (かたづ)
片手 (かたて)
片時 (かたとき)
片方 (かたほう)
片身 (かたみ)
片道 (かたみち)
片目 (かため)
片面 (かためん)
加担 (かたん)
荷担 (かたん)
価値 (かち)
閣下 (かっか)
割腹 (かっぷく)
割愛 (かつあい)
加糖 (かとう)
果糖 (かとう)
曲尺 (かねじゃく)
可否 (かひ)
株価 (かぶか)
株券 (かぶけん)
株式 (かぶしき)
株主 (かぶぬし)
家宝 (かほう)
上座 (かみざ)
過密 (かみつ)
加盟 (かめい)
簡易 (かんい)
看過 (かんか)
干害 (かんがい)
簡潔 (かんけつ)
感激 (かんげき)
観劇 (かんげき)
看護 (かんご)
完済 (かんさい)
簡裁 (かんさい)
看取 (かんしゅ)
看守 (かんしゅ)
観衆 (かんしゅう)
感傷 (かんしょう)
完熟 (かんじゅく)
感染 (かんせん)
簡素 (かんそ)
簡単 (かんたん)
寒暖 (かんだん)
官庁 (かんちょう)
干潮 (かんちょう)
巻頭 (かんとう)
完納 (かんのう)
看板 (かんばん)
看病 (かんびょう)
簡便 (かんべん)
巻末 (かんまつ)
干満 (かんまん)
簡明 (かんめい)
完訳 (かんやく)
簡約 (かんやく)
観覧 (かんらん)
簡略 (かんりゃく)
外延 (がいえん)
外勤 (がいきん)
外傷 (がいしょう)
外層 (がいそう)
外乱 (がいらん)
楽劇 (がくげき)
学窓 (がくそう)
学割 (がくわり)
合奏 (がっそう)
我欲 (がよく)
我流 (がりゅう)
貴意 (きい)
気宇 (きう)
貴下 (きか)
貴簡 (きかん)
危害 (きがい)
危機 (きき)
帰郷 (ききょう)
貴君 (きくん)
貴兄 (きけい)
危険 (きけん)
喜劇 (きげき)
起源 (きげん)
貴校 (きこう)
貴国 (きこく)
気骨 (きこつ)
貴様 (きさま)
気障 (きざ)
貴誌 (きし)
貴社 (きしゃ)
貴書 (きしょ)
貴信 (きしん)
貴女 (きじょ)
机上 (きじょう)
傷口 (きずぐち)
貴族 (きぞく)
帰宅 (きたく)
貴台 (きだい)
貴地 (きち)
貴重 (きちょう)
貴店 (きてん)
絹糸 (きぬいと)
帰納 (きのう)
揮発 (きはつ)
貴方 (きほう)
規模 (きぼ)
気骨 (きぼね)
機密 (きみつ)
吸引 (きゅういん)
吸気 (きゅうき)
吸血 (きゅうけつ)
急激 (きゅうげき)
救済 (きゅうさい)
吸収 (きゅうしゅう)
宮城 (きゅうじょう)
吸水 (きゅうすい)
吸着 (きゅうちゃく)
吸入 (きゅうにゅう)
急派 (きゅうは)
胸囲 (きょうい)
供応 (きょうおう)
供給 (きょうきゅう)
供血 (きょうけつ)
強権 (きょうけん)
京劇 (きょうげき)
胸骨 (きょうこつ)
共済 (きょうさい)
胸式 (きょうしき)
供出 (きょうしゅつ)
供述 (きょうじゅつ)
共存 (きょうそん)
胸像 (きょうぞう)
京染 (きょうぞめ)
共存 (きょうぞん)
胸中 (きょうちゅう)
共著 (きょうちょ)
郷土 (きょうど)
胸部 (きょうぶ)
供覧 (きょうらん)
郷里 (きょうり)
極論 (きょくろん)
去就 (きょしゅう)
居宅 (きょたく)
挙党 (きょとう)
切株 (きりかぶ)
切傷 (きりきず)
規律 (きりつ)
金権 (きんけん)
筋骨 (きんこつ)
金策 (きんさく)
近視 (きんし)
勤続 (きんぞく)
近著 (きんちょ)
筋肉 (きんにく)
勤勉 (きんべん)
勤務 (きんむ)
禁欲 (きんよく)
金欲 (きんよく)
筋力 (きんりょく)
勤労 (きんろう)
疑義 (ぎぎ)
疑心 (ぎしん)
疑似 (ぎじ)
疑念 (ぎねん)
疑問 (ぎもん)
牛乳 (ぎゅうにゅう)
行革 (ぎょうかく)
玉座 (ぎょくざ)
議論 (ぎろん)
銀座 (ぎんざ)
銀幕 (ぎんまく)
区域 (くいき)
空域 (くういき)
空腹 (くうふく)
空論 (くうろん)
口紅 (くちべに)
苦痛 (くつう)
苦難 (くなん)
首筋 (くびすじ)
供物 (くもつ)
供養 (くよう)
黒潮 (くろしお)
黒幕 (くろまく)
君臨 (くんりん)
軍拡 (ぐんかく)
群衆 (ぐんしゅう)
軍縮 (ぐんしゅく)
敬愛 (けいあい)
敬意 (けいい)
敬遠 (けいえん)
警官 (けいかん)
敬具 (けいぐ)
警告 (けいこく)
敬語 (けいご)
警護 (けいご)
警察 (けいさつ)
経済 (けいざい)
警視 (けいし)
軽視 (けいし)
軽傷 (けいしょう)
系図 (けいず)
軽装 (けいそう)
警笛 (けいてき)
系統 (けいとう)
警備 (けいび)
敬服 (けいふく)
警部 (けいぶ)
警報 (けいほう)
敬礼 (けいれい)
系列 (けいれつ)
敬老 (けいろう)
欠勤 (けっきん)
決済 (けっさい)
決裁 (けっさい)
結党 (けっとう)
血糖 (けっとう)
結盟 (けつめい)
結論 (けつろん)
毛並 (けなみ)
県警 (けんけい)
権限 (けんげん)
検視 (けんし)
検収 (けんしゅう)
憲章 (けんしょう)
検針 (けんしん)
権勢 (けんせい)
県庁 (けんちょう)
検討 (けんとう)
険難 (けんなん)
権能 (けんのう)
絹布 (けんぷ)
憲兵 (けんぺい)
憲法 (けんぽう)
権利 (けんり)
権力 (けんりょく)
下巻 (げかん)
激化 (げきか)
劇画 (げきが)
激減 (げきげん)
激賛 (げきさん)
激暑 (げきしょ)
激職 (げきしょく)
劇場 (げきじょう)
激情 (げきじょう)
激戦 (げきせん)
激増 (げきぞう)
劇団 (げきだん)
激痛 (げきつう)
劇的 (げきてき)
激動 (げきどう)
激発 (げきはつ)
激変 (げきへん)
激務 (げきむ)
劇薬 (げきやく)
激流 (げきりゅう)
激論 (げきろん)
夏至 (げし)
下段 (げだん)
月収 (げっしゅう)
厳格 (げんかく)
厳寒 (げんかん)
厳禁 (げんきん)
厳守 (げんしゅ)
減収 (げんしゅう)
源氏 (げんじ)
厳重 (げんじゅう)
原寸 (げんすん)
厳正 (げんせい)
厳選 (げんせん)
源泉 (げんせん)
厳然 (げんぜん)
現存 (げんそん)
現存 (げんぞん)
厳達 (げんたつ)
原著 (げんちょ)
厳冬 (げんとう)
厳秘 (げんぴ)
厳父 (げんぷ)
厳密 (げんみつ)
厳命 (げんめい)
源流 (げんりゅう)
原論 (げんろん)
言論 (げんろん)
広域 (こういき)
降雨 (こうう)
降下 (こうか)
